Region,Mean,Max,Min
L-IP1,0.44413264125081875,1.4947725534439094,-1.5125733642193317e-16
L-IP0,0.5449272205694894,1.7201483249664307,-1.217319379905933e-16
L-PFop,0.38844117654806676,0.9462777376174929,-2.731366063272976e-17
L-PF,0.3692025914573449,1.1334484815597536,-1.0761568135608749e-16
L-PFm,0.5126480611172988,1.4808787107467656,-6.257812179620928e-17
L-PGi,0.7478654197388102,1.8446687459945685,-1.0646874089214564e-16
L-PGs,0.8509693698896561,1.9814916849136361,-2.4310909624287795e-16
L-V6A,0.7574445075556592,1.777170419692994,-3.479073558318513e-17
L-VMV1,0.4855461543824755,0.8623294830322268,-1.1197661546720208e-17
L-VMV3,0.535226133021335,0.7686117291450504,-2.777385500278017e-17
L-PHA2,0.4644873938380503,0.7006362080574037,-1.2493689599383629e-17
L-V4t,0.7142589566873004,1.900256991386414,-6.893523263921998e-17
L-FST,0.5804896817272299,1.7070482969284062,-4.6050235049287874e-17
L-V3CD,0.8821963973565441,1.752379179000855,-8.81222479403311e-17
L-LO3,0.3036660996828385,1.572874069213868,-3.2296412043268864e-17
L-VMV2,0.2962533461579657,0.7869853377342225,-5.3174638340424706e-17
L-31pd,0.44623550441346943,0.9250553250312806,-2.780573807573845e-17
L-31a,0.39042215218465176,0.8112107515335085,-1.152513551586847e-17
L-VVC,0.45197725219117135,0.9081622362136842,-5.954653671962216e-17
L-25,0.13261855011042947,0.38115280866622936,-1.5689202068578847e-17
L-s32,0.07079340355562186,0.17444856464862826,-9.49357108528055e-18
L-pOFC,0.22502733149623821,0.4732753038406373,-2.484240625503285e-17
L-PoI1,0.26805357416235964,0.6063961982727052,-1.4948591595469236e-17
L-Ig,0.28722995318641686,0.5054305195808412,-8.903347704252752e-18
L-FOP5,0.14732368986405459,0.31869819760322576,-7.340293569073493e-18
L-p10p,0.0696500979359892,0.16286368668079387,-1.0120402975501018e-17
L-p47r,0.08406524837058037,0.26833671331405645,-1.5381112003565386e-17
L-TGv,0.15052487039600354,0.43703413009643577,-9.530772790789433e-18
L-MBelt,0.2382995960280433,0.5096933245658877,-2.749390664925086e-17
L-LBelt,0.4063588508211713,0.5580676794052125,4.6153714790538705e-17
L-A4,0.39936440885922586,1.1781601905822754,-3.914274793404087e-17
L-STSva,0.2424229914323355,0.5594642162322999,-1.5880468110143023e-17
L-TE1m,0.24895000953167704,0.758517146110535,-4.139929147652346e-17
L-PI,0.19258243982983167,0.6176899075508118,-1.6172193195218348e-17
L-a32pr,0.13415153332304391,0.24127124249935158,-5.797238370305974e-18
L-p24,0.10161597905937539,0.1992001980543137,-1.9667106597601436e-17
R-V1,0.39068231990272606,1.9660909175872812,-5.782693729648293e-17
R-MST,0.325931528338371,0.6343732476234436,-5.209753185335534e-17
R-V6,0.2625455406476464,1.054671287536621,-3.7457230405636785e-17
R-V2,0.4246061262385301,1.696047425270081,-8.169830435790768e-17
R-V3,0.45353618765664494,1.5429222583770759,-6.017551278345012e-17
R-V4,0.33781045862015163,1.0054982900619513,-6.488041155687527e-17
R-V8,0.24952958840153566,0.6146994829177856,-5.704375953591598e-17
R-4,0.20395858867895114,0.6137816309928895,-3.5052172908933785e-17
R-3b,0.17674159226602346,0.6298356056213379,-3.474622616782979e-17
R-FEF,0.1427501904299561,0.4105303883552553,-3.043909049694891e-17
R-PEF,0.10217210923196038,0.36235204339027416,-8.398585876551214e-18
R-55b,0.15631492678470793,0.39495402574539196,-1.3567968834290758e-17
R-V3A,0.28428199520080955,1.2069547176361086,-4.6208288474174837e-17
R-RSC,0.3018430662310529,0.6607307791709898,-2.932986206748744e-17
R-POS2,0.48335799967721604,1.7684613466262822,-5.072592638171502e-17
R-V7,0.4700570621817485,0.8989886045455938,-1.2569679075864436e-17
R-IPS1,0.4102166882730153,1.050839185714722,-4.280519283344806e-17
R-FFC,0.26765856403304544,0.7052287459373474,-1.729140490236089e-17
R-V3B,0.41096780238059655,1.102207660675049,-4.440087252219957e-17
R-LO1,0.3317432674633097,0.8429632782936097,-3.1014810631017555e-17
R-LO2,0.32027984623634576,0.7294972538948062,-3.62373764953301e-17
R-PIT,0.425439923423397,0.8061228394508363,-2.756516593302178e-17
R-MT,0.33726366117436785,0.6454799175262453,-2.489673891411087e-17
R-A1,0.19322807201498668,0.4045233726501466,-3.54279209235199e-17
R-PSL,0.22368179384820747,0.5025359392166139,-2.6255131775281327e-17
R-SFL,0.12409727132688128,0.3290845155715943,-2.5677563265429604e-17
R-PCV,0.41745535843957027,1.0393224954605105,-5.229628996176635e-17
R-STV,0.28946953636048894,0.5360379815101625,-2.3415038546073934e-17
R-7Pm,0.5091711647650752,1.3359491825103762,-7.001301684966725e-17
R-7m,0.5479090870505079,1.2973717451095583,-4.301398965354107e-17
R-POS1,0.38562728765752846,0.9052736759185792,-4.77959137173105e-17
R-23d,0.35187108207231105,0.6253631711006165,-2.139183271875061e-17
R-v23ab,0.45042236215525644,0.9751108884811406,2.5740814066962575e-18
